id,country,expectancy,rounded_expectancy,continent
147,Saint Lucia,72.9989,73,North America
148,Syrian Arab Republic,72.9899,73,Asia
149,Guatemala,72.8947,73,North America
150,Venezuela,72.8418,73,South America
151,Uzbekistan,72.6562,73,Asia
152,Iraq,72.5339,73,Asia
153,El Salvador,72.5196,73,North America
154,India,72.4848,72,Asia
155,Saint Kitts and Nevis,72.4247,72,North America
156,Mongolia,72.2377,72,Asia
157,Tajikistan,72.0521,72,Asia
158,Egypt,71.9868,72,Africa
159,Kyrgyzstan,71.9687,72,Asia
160,Samoa,71.9484,72,Oceania
161,Vanuatu,71.8434,72,Oceania
162,Western Sahara,71.7797,72,Africa
163,Jamaica,71.7296,72,North America
164,Saint Vincent and the Grenadines,71.5134,72,North America
165,Republic of Moldova,71.4672,71,Europe
166,Dominica,71.4512,71,North America
167,Indonesia,71.4377,71,Asia
168,Cambodia,70.9695,71,Asia
169,Nepal,70.8968,71,Asia
170,Solomon Islands,70.8342,71,Oceania
171,Guyana,70.4468,70,South America
172,Turkmenistan,70.3341,70,Asia
173,Greenland,70.3159,70,North America
174,Niue,70.2223,70,Oceania
175,Sao Tome and Principe,70.0814,70,Africa
176,Philippines,70.0671,70,Asia
177,Yemen,69.5796,70,Asia
178,Palau,69.4935,69,Oceania
179,Lao People's Democratic Republic,69.4728,69,Asia
180,Botswana,69.4289,69,Africa
181,Senegal,69.1569,69,Africa
182,Eritrea,69.1512,69,Africa
183,Mauritania,68.937,69,Africa
184,Bolivia,68.9049,69,South America
185,Uganda,68.7077,69,Africa
186,Gabon,68.6963,69,Africa
187,Rwanda,68.2415,68,Africa
188,Timor-Leste,68.1299,68,Asia
189,Pakistan,67.9371,68,Asia
190,Ethiopia,67.8758,68,Africa
191,Malawi,67.7438,68,Africa
192,Namibia,67.6626,68,Africa
193,Fiji,67.619,68,Oceania
194,Micronesia,67.5027,68,Oceania
195,United Republic of Tanzania,67.4188,67,Africa
196,Tuvalu,67.4105,67,Oceania
197,Myanmar,67.302,67,Asia
198,Comoros,67.2487,67,Africa
199,Marshall Islands,67.2001,67,Oceania
200,Kiribati,66.7238,67,Oceania
201,Sudan,66.7045,67,Africa
202,Zambia,66.7003,67,Africa
203,Afghanistan,66.538,67,Asia
204,South Africa,66.4874,66,Africa
205,Djibouti,66.4098,66,Africa
206,Papua New Guinea,66.3853,66,Oceania
